date,review,rating,isEdited,userName,title
2023-12-03 20:35:05,Day 92 of not being able to login on the app. WHERE IS BOBBY HUTCH WHEN YOU NEED HIM.,3,False,HatedMiata,Doggie
2024-02-05 23:11:54,please allow for picture in picture. when i close the app the video plays for a second on my home screen and then disappears. would love to keep that open.,4,False,jcafaro17,some features need to be added
2023-09-02 01:22:12,Search feature barely works. Can’t close out of videos or return to previous page. Can’t believe we pay for this service.,1,False,SomeIrishPrick,Trash app
2023-06-18 20:05:59,Words.,5,False,DallasFromTX,Finally!
2023-07-02 23:18:52,"I login fine, navigate to LoS pod, pick the episode but it never loads past the skanks picture and logo",2,False,voodoomoon13,Episodes won’t load
2023-06-17 03:46:45,About time we got a new app can’t wait to use it!,5,False,Shady MotoRider,LET’S GOOOO!
2023-08-25 16:29:25,Idk who Luis paid to make this app but he should get his money back. They still have the absolute worst video player out there,1,False,Ryan Miers,Terrible
2023-08-16 19:11:52,I can’t long in on the app or the web site. I reach out to the studio and get no response and no help. What a waste of time. Love the shows though.,1,False,Herb.P,Nothing works haha!
2023-06-19 01:23:14,Best new podcast app that just dropped,5,False,EatingTrash,It’s the best
2023-06-17 07:03:59,I can’t play listen or watch any content as of right now,2,False,k doggie dawg,Can’t play
2023-06-20 07:38:55,"Looks great! Works great so far. Impressed doggies……. 
      BLOP BLOP",5,False,Mortadel,Took Forever
2023-07-21 13:09:37,hosted by the Puerto Rican Rattle Snake and the Caucasian Birthday Cake (Luis J. Gomez and Zac Amico),5,False,Owl Mipe Ewsy,I use it to watch RAP
2023-07-06 14:19:24,Everything works with the means to be expected but it doesn’t save the spot where you were in the episode so you can’t do anything else unless you check time code first,3,False,Pinbalin,Good idea for the app less execution
2023-07-04 12:38:20,WOOP!!!!,5,False,justin_cody,Great podcast network
2023-06-16 15:26:22,Dammit Ralph this app stinks. Solid 5 ⭐️,5,False,BeejusChrist666,GAS
2023-08-27 03:10:03,Unreliable app. here’s some gas for ya 🐕💨,1,False,adam rochotte,Still Doesn’t Work
2023-06-19 21:24:59,legion of skanks? more like legion of shut,1,False,disiabJ,shut app - no content loads
2023-08-27 20:01:31,Garbage,1,False,joe1035,Trash
2024-01-29 02:02:32,"This app is absolutely TERRIBLE on the iPhone (not sure about an Android phone). It is almost unusable. It crashes (app refreshes) constantly when you have paused an episode. Then when you go to app again, you have to find the episode that you were watching, which can be a pain if you are watching an older show. Wireless (and presumably, wired) headphone controls do not work properly. Yes, the PAUSE button works, but if the app is not currently active on your screen then the PLAY button will not work and the app will crash (refresh). 
*** I've found (I think) a work-around that fixes the issue most of the time (it will still crash sometimes). When you need to pause your show; open your phone, go to the app and pause manually. NEVER use the pause button on your headphones, it will crash 100% of the time. Skipping 30-seconds or rewinding from your headphones does NOT work. Luis, please fix this. I love GAS Digital but I would rather use a podcast app then the GAS app most of the time.",1,False,Kyle L. Christmas,TERRIBLE on an iPhone
2023-10-19 17:12:57,10/19/23 - literally only downloaded this app because this is the platform Godfrey uses. i’m not in the tech world so idk the language but this app needs a lot of work. doesn't run smoothly.,1,False,surethaang,App is Inefficient
2023-10-11 16:30:54,App barely works. Shows are never on time. Search function doesn’t work. Back catalog not completely available as advertised. Do yourself a favor and just watch the shows on YouTube.,1,False,Mnorwalk,Trash
2023-08-22 12:20:58,"Main issues I have are when pausing the app will lose its place in the episode of whatever you’re watching/listening to and have to scroll back through to find your spot. And on top of that the controls for the players are so small and close together that trying to rewind you’ll end up hitting pause or worse accidentally touching the bar that will shift you back to the beginning of the episode. It’s infuriating, would rather listen/watch on YouTube but i like having the uncensored content and getting it earlier than free release. Please fix, the media player is downright awful.",2,False,Nicknamesaregayer,Media Player on the App is Terrible
2023-08-02 15:57:45,"App doesn’t save your place in a video when you pause the videos and use another app, without closing gas digital app, so when you go back to the gas app you have to search for the video you were just watching/listening to, and then try to find wherever you were watching from before. I’ll just stick with the overly edited videos on YouTube or listen through iTunes. 

Please fix if you want me to pay for a subscription.",1,False,Seagan,Annoying app.
2023-06-27 04:56:18,"I'm pretty sure most people would just prefer the podcasts work on as many podcasting apps as possible. Be able to get a link to a private YouTube feed in the app. And maybe support apple podcast subscriptions (even if at a markup to cover the Apple Tax). 

The app is fine for what it is. Just feels weird considering other shows work in nearly every app.",2,False,MonsterRayn,Not sure why an app is necessary.
