date,review,rating,isEdited,userName,title
2023-06-28 03:47:03,"I have the free version and it works through your wi-fi connection between your phone and tv. They will need to be connected to the same network and you’ll need to allow your tv to give access to the app. 

BOOM magic!",5,False,Bobo@clown,Free Version
2023-01-24 02:11:24,"This worked great for a few days while I look for my real Samsung remote that is misplaced. However on day 3 the app refuses to work when I press any buttons the app tries to force me to purchase the monthly ""premium plan"" for $6 a month. Who the heck pays for a tv remote control every month? That's dumb. I could maybe understand a small one time fee but not a monthly charge as if this is a service and I will never find or replace my physical remote!?!",1,False,NMC8888,Stops working after a few days
2023-12-09 02:22:59,The old app I used always failed to connect to my tv when it is clearly connected to the internet. Will update after a while.,5,False,Anon o moose,This one saves me so much trouble.
2023-02-06 02:49:01,App works like a charm. Easy to connect. I left my remote on the other side of my bedroom and was too lazy to get up so thought I’d try this awesome app.. kicker- I had to get up anyway to select allow on the tv so the app can connect. ☺️😑😑😑,5,False,_Catastrophiccc,👌🏼
2023-05-23 00:26:44,"Downloaded the app, followed the auto prompt instructions and I am now able to control every tv in my home from my devices. So far the app is running extremely well.",5,False,SilverSlipperCajun,Great App
2024-01-01 09:15:44,thought it would be fake but MAN I WAS SHOCKED .. this works .. I haven’t even tried it completely just put the volume up ..it worked and came right away .. great app .. amazing work .. I’m truly impressed and happy 👍🏽.. highly reccomend!,5,False,‏‏‎xi,AMAZING!
2023-09-25 00:37:45,Connected fine after I found out how to get around them trying to force you to pay for the thing. But it works,5,False,do my g to,It works
2023-12-02 21:03:08,It’d be nice if it controlled the sound bar as well but otherwise a nice convenient option to the standard remote. Especially those times where the couch or dog may have temporarily eaten it.,5,False,BN in this house,So far so good
2023-07-02 09:32:35,"Has been constantly falls asleep with the remote control, and I can never find it. This was a lifesaver no more tirelessly looking for a loss, remote control down in the couches or around the house.",5,False,Vgrossma,Super Easy - life saver
2023-04-30 20:20:09,"Remote started bugging out friday. Can’t get the OEM Samsung remote without ordering it. No problem downloaded this app just to try and make due for the weekend.

You get it all connected and it works good, Until it pops up and ad for premium service about 30 seconds in.

You click X and try and use the remote and it does it again, and again, and again. Not possible to use it without purchasing.

Downloaded another app that actually works. $35 or $6/month is more expensive then the remote itself I don’t see how this is any kind of a deal.",2,False,julienhunt,"You get 30 seconds of use, Then it won’t do anything else."
2023-04-10 01:45:13,"This app literally saved me, my child threw away our remote control and we couldn’t watch the tv in our living room till I downloaded this app! Forever thankful",5,False,breemibeauty,Love it
2023-06-26 15:27:44,Worth the money lol makes it so convenient to always have a working remote on my phone. Highly suggest it for anyone even just as a backup for your regular remote.,5,False,Jetlee0327,Sam remote
2024-01-09 18:50:29,"I got this app and didn’t end up paying the $20 luckily but now my real physical Samsung remote doesn’t work! And I know that this app is the problem because this has happened with two separate TV’s. I do not know how to fix this. I got this app for convenience and alongside the fact that it doesn’t even work, now my actual remote doesn’t either. Do not get this app",1,False,Nik Nak Paddy Whack,Do not get!
2023-06-11 19:20:46,So I used this and it worked good I like it but it need to be a lot more simpler and more easy to use like all of the instructions on there on how to use it it was very complicated,5,False,Tyler type,Good
2024-01-13 17:47:06,Tried 3rd party apps and got frustrated. But this one went very smoothly. It even works with my Samsung cable box!,5,False,m&c64,"Works well, once I followed its directions!"
2024-01-29 07:47:08,I lost my remote and this can right on time!! It was one of those nights where I wanted to eat some snacks and binge watch tv shows.. this is a good app,5,False,Cosette29,Right on time
2023-08-17 23:50:14,"If you like it, I suggest to buy lifetime one. So you dont have to worry about monthly price ever again.",5,False,sofarlegit,It works great! Even easier than real remote.
2023-05-13 02:55:00,App was super easy to use. Automatically found the tv and just pushed the button to instantly link.,5,False,Tony R4,Samsung smart tv 8 series
2023-06-24 16:31:37,This control is great one of the best I try. Will recommend this control.I had to download it as per my dog eat the original control that came with the TV.,5,False,JulyMota2923,Great
2023-11-18 14:40:38,Easy to download and sync to the tv in seconds worked right away give 5 stars,5,False,Dpires82,Easy to download
2023-08-06 05:41:25,Reacts pretty quick & is a basically wireless remote. Never thought I would be using one after losing mines lol,5,False,Djhaminc,Very fast response
2024-01-26 23:18:02,Thanks for the quick and easy install and connection   Took me a matter of 1 min.,5,False,DAS8893,Quick and w
2024-01-20 22:25:56,"The remote in my house is always missing, despite having 3 at this point. The phone backup is a lifesaver!",5,False,heavy d--,Great app
2023-12-25 02:41:13,It was efficient and nice. I just did not like how you had to use the original remote to give permission. I found it Inconvenient at times I had lost my r,4,False,wdgrtddghytchgfgbggv,Remote
2023-11-06 12:50:25,"There is no free version after a short while of using the remote without paying for it.

There is a point where any button you press it doesn’t function and the “pay for this” ads start popping up every time and it becomes unusable unless you reinstall",1,False,KingPsych0,Terrible. No free model
2023-10-19 08:16:00,Love this remote app so much it’s very convenient for when you lose your remote or your remote starts acting dumb like mine does,5,False,babygurrllllvalllll13,Love it
2023-06-07 00:19:42,Easy to connect if you have the original remote,5,False,Boogerb2,Remote
2023-06-24 20:30:00,I find it pretty ridiculous that you have to have the original remote to press allow an order for the Phone app to control the TV. Basically the whole point of this app is if you lose your remote.,2,False,Counter intuitive why!?,Ridiculous
2023-06-12 22:27:56,Love this app. I can always find my phone but not the remote. Problem solved!,5,False,NetterSA,No more searching between couch cushions
2023-05-02 22:08:57,When I lose my remote I can’t turn on the tv and this will Really help me if I lose it again,5,False,Best remote app,Good
2023-12-31 22:52:44,Can’t believe the control all from your phone nice and easy.,5,False,pete&terry,Easy
2023-06-28 05:24:53,Love the app it works perfectly fine if I can’t find the remote it comes in handy.,5,False,DJ The Good Guy,Thoughts of the app
2023-03-30 17:35:47,It works!! It’s so easy especially when I lose the remote I can pull my phone out and use this app it’s great!!!,5,False,Nay_Conybear,It’s great
2023-11-25 15:51:14,Look like easy to use,5,False,Ponyamine,Just start use hope working good
2023-06-16 05:09:00,Just started using it. Seems legit. Will update of any issues come us.,5,False,Suckitsanta,So far it works
2023-01-06 17:39:02,..until you have to pay,5,False,Sole Breaker,"Amazing, Until.:"
2023-11-17 08:01:05,"Scamware.  Popup screens that stop functionality and keep returning the user to their Apple Store subscription page.

Funny thing.. if they didn’t seem so sleazy, I’d have easily spent the “unlimited” version for $35 because the app appearance and functionality really do seem quite good.",1,False,SadiesCorner,Operated for 20 or so button presses in free version.
2023-06-27 16:52:03,"I love this app, I wasn’t able to get my remote control to work, this was really useful",5,False,☚☛☜☞,Remote
2024-01-12 00:07:43,"Thought I’d try the app, since everyone in my house looses the remote all the time. Works, somewhat. Not the best, but better than nothing.",3,False,fjkkbgfbjfv gfhjd,Won’t buy the paid version as free one crashes
2023-06-05 04:50:20,It is so easy and fast to set up it only took me 2 seconds to do. It work amazing also.,5,False,aliece64,Best remote
2024-01-14 09:08:46,Amazing- worked right away with no hassle. I have tried and this is tech idiot and it is working reat with zero issues whatsoever,5,False,jbbress,Yay!
2023-09-06 03:31:24,Doesn’t give me a chance to use before it makes you do a review,5,False,Chappie42,Ok
2023-05-07 16:50:51,Very useful and convenient unless you lose your phone.,5,False,arimar1315,Very Convenient
2023-04-03 03:08:50,This app is very useful if you can’t find your remote it has every button your remote would have and one thing I don’t like is that there is a trial  but it is optional,3,False,Carson Haag,Pretty useful app
2023-06-18 13:11:49,Yams for this app.  Now I have better access to my TV from any place in my home.,5,False,onto46,Innovative and Helpful
2023-11-30 19:14:29,"They want to charge a ridiculous amount for a remote! I downloaded it because my pup chewed remote, infinitely cheaper to buy a real replacement remote for 8 bucks online, this remote app is crappy outdated version and they want 5.99 a month, it’s nuts",1,False,4JaxR,Only works for a few clicks then they want you to pay
2023-10-08 18:46:00,App basically stops working after a couple of days until you pay. Seems like even “pause” and “play” are premium features. Why mislead the customers into thinking that basic features are free when all features are premium?,1,False,Vips452,Misleading app-not free
2023-07-21 03:46:00,"Would it recommend unless you’re willing to pay for the service. But also as mentioned by other reviewers, you CANNOT connect to TV unless you use physical remote to “allow” the connection. If you lost remote I wouldn’t recommend this app.",1,False,Si Ro1,Only 5 minutes work
2023-06-02 06:41:52,"Really smooth, responsive, just a great app!",5,False,jabbmyhutt,Intuitive Interface
2023-02-19 22:45:47,Clear command screen with all features easy to use!,5,False,vogitunes,Works Very Well
2023-07-08 23:59:51,I hope it works,5,False,ashlacerda,Just downloaded
2023-04-06 12:14:17,"Regular remotes control both my smart monitor and the tv, i can select just to control my tv only!!!",5,False,meeso sarah,Awesome!
2023-12-03 01:52:52,"Appears to be working very well, I need just more time to learn more about buttons, but it’s ok now",5,False,Exprosoccerplayer,Samsung 32” Smart TV
2023-02-12 14:00:44,This app works great! Dogs chewed up out tv remote last night and this app was simple to connect and use!,5,False,tvalpzbu,Awesome
2024-02-01 03:49:27,Thank you. I was going to have to lose it on my fiancé . Thanks to y’all no one is in a bad mood .,5,False,TheLouisianaChick,Saint of the Lost Remote
2024-01-16 20:31:43,TV needs to be turned on in order to use the remote AND you gotta pay just to use it! It personally did not work for me because of the inconvenience. Sometimes I would use my phone as a quick resort when I couldn’t find the remote.,1,False,LeslieAlmora,Inconvenient
2023-06-26 04:57:04,Just installed and it was super intuitive. Will check back after I use it. Seems simple and perfect at first glance.,4,False,jeffsuccess,So far so good.
2023-11-10 02:24:48,"It’s okay, broke my tv remote control and this free app help me to have the control again lol",5,False,lt Dan621,Take Control
2023-08-19 20:39:53,Working good but needs a working remote to accept connection on TV for first time connecting,5,False,TranT4,Working good
2023-11-28 06:43:41,"This is stupid, I bought $1500+ THIS tv and after installing this App they want me to register and pay fee every month. Wow Samsung such a great deal for your Samsung customer to Rob them different way and pay extra money to use this remote app ! TV is great and awesome functionality but not happy with this remote app deal. ;(",1,False,Danny the Texan,Rob
2023-02-13 18:21:30,"Awesome app, easy to connect to Samsung tv! Now I have a back up, for when the tv remote, falls down in the recliner!👍👍",5,False,Real2r21,Sam Remote
2023-06-08 22:27:44,I was expecting to leave an amazing review but it says you have to use the regular tv remote to allow access but if someone gets the app it obviously means we don’t have or can’t find the real remote because if we had it why would we get the app?,1,False,Remote girl.,Bad
2024-02-08 00:32:03,Be careful when start for new subscribers.  No need to start subscriptions. Just hit the “x” top left corner.,5,False,jokekng,Nice app
2023-08-15 05:31:58,It was very easy to use it,5,False,Fatimar sky,The app is easy to connect with your tv
2023-12-07 03:09:50,Cannot turn on tv initially without original remote ..also have to kill app & refresh in order to operate my Samsung 85” CU7000 tv everytime my phone screen is not continuously on the app,2,False,Deuce Dosa,Power button
2024-01-27 22:27:19,After my dog ate my remote I was very frustrated until I came across this app. Very helpful. Highly recommend,4,False,jesearss,Excellent
2023-06-16 16:55:59,This app is great. I mean it should be free but it does actually work great and sets up easy and I like it.,5,False,thhfdruj,A+
2023-04-20 19:52:42,We always lost our control this up will be a huge help!,4,False,Chezfm,Super helpful! First time using it!
2023-05-09 22:54:38,The app works well but who wants to pay a company a monthly fee to use there remote sorry guys but I can buy a universal remote for half the monthly price if it was like 5$ one time fee sure but the app creators are smoking crack if they think I’m 35$ to lazy to dig around for my remote,1,False,Tylamilla,Pay to use app!!!!
2023-04-09 06:05:15,Awesome bc I hide the remote from the kids and forgot where it is….,5,False,Flesh64836,Glad it works
2023-01-11 04:19:40,Everything works,5,False,cdeez!,It works!!!
2023-10-16 04:57:34,Can’t long press center(OK) button some apps require but otherwise good app. 4.9 out of 5 stars.,4,False,000100011100,Works well
2023-12-25 01:49:41,"genuinely works super well, many more abilities than other apps!",5,False,gorgeyoots,Great app!
2023-03-27 02:54:03,Easy connection,5,False,vnz12,Connect
2023-11-15 23:29:02,"At first, the app worked without having to pay. The second time I went to use it, it would not let me use the remote at all without popping up an add for premium usage.",1,False,It's watermelon22,Only works if you pay
2023-06-25 16:03:12,An excellent app works perfectly fine,5,False,shshsbqmkd,Tv
2023-01-12 05:49:34,Works great! Just in case I lose my remote again!,5,False,DJRain813,Easy Setup
2023-08-19 19:43:45,Pretty solid system,5,False,Iluvpinappls23,Good app but you need a remote to connect
2023-09-03 21:30:31,At first it would connect perfectly and it kept asking me to sign up for subscription and now that I paid for it the control wont connect. And now Im out $30,2,False,Angie jane Murillo,Connects to TV sometimes
2023-06-14 04:00:33,So far just downloaded and started the trial. I am enjoying it so far.,5,False,Shae-Shaye,Love it!!!
2023-08-05 08:36:59,I have only been usin it for about 30mins and it’s really functioning great,5,False,KeepitAhhunnit,The remote
2023-03-01 03:02:16,The remote is nice it takes a while to get use to it,5,False,noobs 'c,Coool
2023-01-10 02:16:16,I’m so glad I found this app. Works exactly as promised. Would be great if there was a widget for it.,5,False,Bgmix,Love it!
2023-11-25 13:33:26,When my toddlers decide it’s time to play treasure hunt with the remote control.. this app always comes to the rescue.,4,False,Fisty007,Works!
2023-10-22 19:19:16,The catch of this app is you need to connect it first before losing your remote,4,False,jasonv1031,Life saver
2023-11-21 17:31:46,You allowed to use the app for about 1 min before they force you to but premium to have unlimited access,3,False,ThRealBread,It is ok
2023-03-20 05:32:03,Connected easily and I love the big buttons on the app,5,False,Padawon Chaud,Great Remote
2024-01-30 03:56:56,Easy to use and install,5,False,FC-G,Easy
2023-02-27 23:17:58,Works really great and connects very quickly!,5,False,Djap7,Living Room Remote
2023-01-14 22:22:10,"It be a remote, I can finally watch Big Mouth again",5,False,UnderCheesyPP,BM :)
2023-11-03 02:08:08,Nice set up so far. We lose our remotes a lot so hopefully it continues to work.,4,False,rj comin,Smooth
2023-11-14 03:02:45,This is the only app that worked with my Tv!!,5,False,Maricana,So happy
2024-01-18 05:07:21,It's amazing I don't need now my boring tv remote control,5,False,Rommy22G,Tv
2023-09-09 21:00:42,This appears to work and mimics the physical remote.  So far so good.,5,False,sanctuaryHill,Good start to using
2023-07-10 21:32:44,It’s very easy to use and very simple to set it up.,5,False,Juan...Beto,Easy set up
2023-08-07 21:43:32,You can get a real remote control for about 10 bucks.   I honestly don’t understand the pricing strategy.   Full of ads.,2,False,Wherrett,Why pay 40 bucks for an app?
2023-02-03 20:55:01,After about 10 clicks it stops working and throws up ads expecting you to pay a subscription to use it and still see ads plastered all over the screen,1,False,McNuggetBuddy,Useless
2023-07-22 14:19:55,Works perfectly reallly convenient.,5,False,Ojos neros,Remote
2023-01-05 02:20:06,Easy to use and set up,5,False,magsenq,First-timer
2024-02-02 05:27:10,App asked me to write a review. It is working so far…,5,False,PollockDigital,Working so far
2024-01-14 00:26:46,"Doesn’t connect, doesn’t work. Worked perfectly in the trial.",1,False,minniespin,"Worked perfectly during trial, immediately stopped working after purchasing"
2023-03-09 05:19:46,If I could I would give it no stars. Paid for life time subscription. And all I get is no device found. Went to customer support and no reply back. Don’t waste your money and time. I stress don’t download this app.,1,False,hassel le,Ripped off
2023-11-21 03:10:48,"Not worth the $20 I paid for it. There are too many things to keep aligned, and in the end, your own remote control is far better than this gimmick of an app.",1,False,hgbyrne,Not worth it…
2023-08-16 13:18:54,Great so far!,5,False,aanance,Easy install and use
2023-07-01 21:42:52,Don’t waste your time. It will stop the bottoms from working and pull up a prompt to upgrade after a day or two.,1,False,sonntag0,Forces you to upgrade to paid version after a couple uses.
2023-05-31 19:41:21,This is the best app I have on my phone.  Puts some of the smart into smart tv.,5,False,Tecpro12,Best app!
2023-05-03 18:32:09,Helped me out,5,False,thank you 🙏 🥇♾️,thank you
2023-08-10 04:51:43,Havent used it yet but it turned the volume up and down!,4,False,CJWitt23,Meh
2023-07-22 01:55:05,Just  lost my remote control and this  app save my Friday night.,4,False,Lodi a,Very useful
2023-07-06 19:13:47,Works perfect! Love the remote app easy to use and to set up.,5,False,Cindy ThidemannRN,Samsung tv
2023-03-04 20:45:41,"It was stupid it would disconnect from my TV. Sometimes every time I clicked one button, it would ask me to sign up for a free trial and the app has a lot of bugs and glitches",1,False,I Mendoza,Do not recommend
2024-01-17 15:38:08,Works well,5,False,Lynnann816,Samsung remote phone
2023-02-20 03:06:21,Does exactly as advertised,5,False,NJ_Bee,Solid
2024-01-09 18:34:35,"I downloaded this thinking it was the app for my new frame tv. It’s riddled with ads, and doesn’t have the functionality of the real smart things app from Samsung. Don’t waste your time.",1,False,ADangerm,This is not the real Samsung app
2023-04-20 16:20:35,"Why would I pay to use my phone as a remote when all other apps are free??? Roku and all smart devices are similar, what makes this so much better you ask; nothing. Delete",1,False,Rashawn Charles,Insane!!
2023-02-14 02:41:19,More than I expected .,5,False,Raysandgo,Works  great
2023-11-19 23:48:52,"after a certain amount of clicks, after they collect your information. And they benefit, they give you a certain amount of clicks then require you pay month for a remote. Pathetic.",1,False,RationalAnthem,SCAM REMOTE
2023-11-12 11:09:24,I can’t use the remote because it has to many Ads. When I try to remove the Ad screen to use the remote an it DECLINES because I have no money the Ad still won’t go away.,1,False,BadAppDontUseItWasteOfYpurTime,To many ads
2023-11-08 11:29:14,Too many ads,4,False,Chick House,Lots of ads
2023-07-03 10:57:25,"You have to already have the tv remote in hand to hit allow on the TV each time.
If I have to locate the tv remote in order to use the app, then the app is pretty useless wouldn’t you say?",1,False,Hope0524,Useless
2023-03-14 16:59:04,"Really simple and amazing, I lost my controller and this just comes in clutch.",5,False,iLoveMooMoo_,Super Amazing
2023-01-15 02:15:06,"After a certain amount of clicks, it makes you pay for a subscription, and you can’t even get back to your programming with the TV. Bad app. Do not recommend.",1,False,jessmlindsey,Not completely free
2023-09-17 20:05:47,I got this because I lost my remote (I found it) but after going to turn my tv up I realized that you can only use it for a little while. Then they charge you to do anything at all.,1,False,Miance',SCAM!!
2023-04-02 17:08:22,Works just like it’s supposed to,5,False,SundaySpreads,Works
2024-01-19 13:34:44,Lost my remote and this works perfectly,5,False,Bebo Batista,Awesome app
2023-06-02 02:36:10,Worked on the first try !!,5,False,heyheybkk,Really great
2023-12-15 15:32:57,It works,5,False,TylerDurdan99,Works What else can I say
2023-06-08 22:25:30,Why do we need to allow it when we press on the TV it makes no sense obviously if we got the app we don’t got the remote so how are we suppose to press allow,1,False,Chassity.,Why do we need to allow
2023-02-22 21:07:47,Waste of money you cannot get it to work if you don't have the original remote to hit allow on the TV to work. Waste of money and time.,1,False,Daisymom4,If you don't have your physical remote don't get
2024-01-18 04:35:29,"Terrible, you have to pay for a remote? Every other tv service the phone remote is free, what makes Samsung so different? The answer is nothing. Immediately deleted",1,False,Drewsenn17,Company
2024-01-17 19:37:26,It worlds smooth,5,False,Dhdhdhdhc,Remote
2023-10-10 13:56:53,As advertised,5,False,pcuratolo,Works
2023-06-02 15:05:56,So glad they have this !!!,5,False,Sj34_$,Very Easy
2023-07-18 00:51:18,"U can’t do anything it doesn’t work properly nor can u even hit select,u have to pay to even press one button(greedy) don’t get",1,False,nobodynohomi,Why punish me for losing my remote ?
2024-01-11 22:25:27,Great to have a app that acts as the tv remote.  Use to use,5,False,Hsueudh,Helpful App
2023-12-29 23:34:59,"Couldn’t turn my tv past 27 unless I bought the premium subscription, couldn’t press any more buttons either, garbage app will never the download.",1,False,Tripledog9,App is garbage
2023-06-20 02:50:37,Ehh it's ok better than some other ones,4,False,Edward Anslemo Shomaker,🫤
2023-06-27 03:14:47,It had to many adds and were you have to pay to have it as a remote,1,False,the absoulute truth,This was horrible
2023-04-30 23:59:28,It’s a helpful app but it kept asking me for a review at the first time I got on it,4,False,…’.,Good
2023-05-10 03:43:40,No complaints,5,False,Nav Et,Good so far
2023-01-12 03:32:42,Works perfectly!!,5,False,db4drizzo,Good job
2023-08-12 19:02:25,Worked so well!!,5,False,JDani,Perfect
2023-05-12 20:45:30,So I was using this app for my family tv but  after a little while every time I pressed a button it kept asking me to buy premium,1,False,KaydenXGamer,What
2023-12-24 17:39:40,I love it keep up the good work,5,False,Nealneak,Samsung remote
2023-09-24 13:00:29,I use it to prank people,5,False,Detroit is me,Works like a charm!
2023-11-08 03:00:50,$5.99 a week to use the remote for more than 30 seconds? Complete waste of an app and a total cash grab. Developers should be ashamed of this pricing. Over $310 a year for a remote app is absolute robbery.,1,False,7777778,Scam
2023-06-14 19:52:46,Connects instantly,5,False,BBannr,Works
2023-09-02 17:25:42,Tried everything this app told me to do and nothing worked just gets stuck loading,1,False,abqwertyuioo,Don’t work
2023-03-26 04:49:36,Quick easy install!!! Life Saver,5,False,Marva Lynn,Love it!
2023-07-06 00:21:00,It really helped me thru a bad time. Very useful,5,False,Ramz02!,Great app !
2023-04-29 12:31:10,Worked for about an hour then froze and any time I press a button the ad requesting me to upgrade to the paid version appears,1,False,Sdelsip,Garbage
2023-03-19 05:03:20,I love it so good works really well👍,5,False,Bchchdnsnnxjf,Rating
2023-08-07 06:16:10,I used the free version but even then it trips out and makes you pay right away. Get another that is actually free.,1,False,Gee1227,Not worth it!
2023-02-23 21:56:20,Unable to connect it to my TV even though both my phone and TV are connected to the same network,1,False,Hyfddv,Can’t connect
2023-04-27 00:04:56,Huh,5,False,Garycarter31,My iPhone not work my tv
2023-11-06 05:00:28,No one should pay instead buy a new remote,1,False,Bad_Momo zzz,Remove the pay part
2023-06-26 22:34:20,You only get limited uses on this app? Why? This is a remote not a dam website like Netflix. You’re better off buying a new remote!,1,False,baby2tone,Don’t buy premium or use this app EVER
2023-03-24 13:06:02,Thank you!,5,False,redriver Jim,Very helpful!
2023-03-17 22:06:56,Doesn’t work with casting videos,2,False,Gingersnap221,Pause button
2023-12-10 04:08:54,Awesome app and easy to use,5,False,Revnationauto,Works great
2023-08-18 01:48:38,I love it so far !,5,False,Mjaaaaay092,Replacement
2023-08-22 17:16:39,Constant ads to upgrade.  Roku and other mobile remotes are much more functional and user friendly.,1,False,reid2020,Constant Ads
2023-06-02 05:16:40,I’m happy I don’t have to pay for it to work😁yay,5,False,Christs1love,Ifk
2023-07-02 16:25:28,The whole point of needing it is I can’t find my remote!! How will I click allow on the tv to use this remote 🤦🏾‍♀️,1,False,Tee128,You need your remote to use it
2024-01-23 08:53:18,This app is crap and they want you to buy it. No functionality but bloated with useless extra.,1,False,Ralph 1258893,Trying to watch my iPhone on TV
2023-12-29 08:06:00,You can’t connect the app to the TV unless you have the remote to confirm access…. kinda defeats the point of the app,1,False,st.1027,Can’t connect without the remote
2023-11-16 03:05:30,"Kept asking me to rate it, which I don’t know why. After barely five minutes of using the app, it wanted me to buy premium subscriptions. Don't buy this, SAVE YOUR MONEY!!",1,False,mattie_535,Bad
2023-06-27 18:23:23,I got this app because I did not have a remote because we lost it and it asked for a exception on the TV. How am I supposed to use it if I don’t have the freaking remote,1,False,I give up this is so stupid,BAD
2023-12-12 19:58:10,The most awesome remote I’ve just 🎉,5,False,jsjsdsds,Remote
2024-01-25 03:30:50,I’ve lost mu remote so tried to use app before I’ll get replacement. But to use it I need to press button to allow app connect to TV…. Genius!!!!,1,False,Timothey055,Useless if you lost remote
2023-07-08 22:04:14,Download it it works great ppl,5,False,abbzani,It’s great app works perfect
2023-06-22 20:26:12,Looks easy.,5,False,martmyle,I’m new
2023-01-22 23:13:22,This app is worthless $35 last time or 12 bucks a month!!! just buy a remote you’ll be a lot better off,1,False,Wilson0388,Worthless
2023-11-23 01:20:47,So easy to set up you rock Samsung,5,False,Nickname$$$$$$$&&&&&,This is so awesome
2023-10-23 11:32:12,This is one of the best app that I’ve used.,5,False,Babusrajendaran,Best
2024-01-02 04:21:51,Works well with my smart Samsung TV,5,False,Allieislinda,Great
2023-09-29 22:29:32,Love it,5,False,Brneue,Great app but to much ads
2023-06-25 00:11:31,Very easy to set up and use.,4,False,whbarker3rd1,Excellent
2023-08-24 05:10:32,"Terrible connectivity, terrible UI. Complete garbage. Just buy another control online. Cheaper than this app and it actually works.",1,False,Civil117,Garbage
2023-08-14 07:29:46,this is awesome lol i lost my remote n it connected soooo that’s a 5 star for me:),5,False,Ailyn ;),IT CONNECTS
2023-06-21 16:03:40,I love this game but I don’t have money,5,False,gucci umbruella,Fati
2023-06-15 22:14:51,10/10,5,False,Hashir Niang,This app is helping !!!!!
2023-04-23 07:25:02,Actually works really great!,5,False,Efren1022,Nice
2023-02-11 21:20:46,Very easy to setup and connect yo tv,5,False,Janett Florida,Easy peezy
2023-03-11 20:58:58,Thanks,5,False,FGualda,Nice remote control
2023-10-02 13:22:53,Explain to me how it makes sense to need to download a remote bc yours is lost or broken but then need the physical remote to accept the app remote on your tv. What a joke. Terrible concept.,1,False,DD1029,Trash
2023-09-17 11:00:16,Overpriced nagware. Completely useless unless you want to pay $12 per month.,1,False,glnagrom,Wish I could give zero
2023-08-15 07:23:22,Works well,5,False,kezz1x,The app
2023-12-14 16:59:45,It’s really easy to use I love it,5,False,Diansis,Super!!
